,business_id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
6751,HAxeSAqr06j4EWFjiIbWEg,"""Rabba Fine Foods Stores""",Church-Wellesley Village,"""9 Isabella St""",Toronto,ON,M4Y 1M7,43.667513,-79.3850234,3.0,13,1,Grocery;Food
6754,5m2JukTajxMk-qS5W4s-FA,"""Charidise""",Downtown Core,"""27 Baldwin Street""",Toronto,ON,M5T 1L1,43.6558966,-79.3931781,3.5,125,1,Food;Taiwanese;Restaurants;Tea Rooms;Desserts
6757,tisVBZM6OFh1ih4x6rGtDw,"""Garden Gate Restaurant""",The Beach,"""2379 Queen Street E""",Toronto,ON,M4E 1H5,43.6724986,-79.2873494,3.5,45,1,Asian Fusion;Imported Food;Ethnic Food;Chinese;Restaurants;Specialty Food;Food;Breakfast & Brunch
6764,hQ51OL2a8_mSvQqUY18MpQ,"""La Prep""",Downtown Core,"""20 Adelaide Street E""",Toronto,ON,M5C 2V9,43.650578,-79.3776855,3.0,4,1,Salad;Breakfast & Brunch;Cafes;Sandwiches;Restaurants
6768,hrbIB0mjkA20s7O3bR4GOw,"""Cinnabon""",Yonge and Eglinton,"""Eglinton Station""",Toronto,ON,,43.7085550885,-79.3993354999,4.5,7,1,Desserts;Food
6770,53NomlztIy1NTFCtpIoP3A,"""Swiss Chalet Rotisserie & Grill""",The Annex,"""346 Bloor St W""",Toronto,ON,M5S 1W9,43.6667303,-79.4045057,2.0,4,1,Comfort Food;American (Traditional);Restaurants
6772,rl0_CZQDJDlXfZiHe9tZ8A,"""Wrapido""",,"""76 Lippincott Street""",Toronto,ON,M5S 2P1,43.657015,-79.4067501,4.5,45,1,Restaurants;Food;Canadian (New)
6775,rzWFku9477oIT4THhKwaXQ,"""Stock In Trade""",The Danforth,"""1272 Danforth Avenue""",Toronto,ON,M4J,43.6820295,-79.3304626,4.5,18,1,Butcher;Restaurants;Sandwiches;Food
6778,VWMpdCvxo8O-iv-1ZoWvzw,"""Stasis Preserves""",High Park,"""476 Roncesvalles Avenue""",Toronto,ON,M6R 2N5,43.6532249,-79.4517579,5.0,8,1,Organic Stores;Specialty Food;Food
6779,2Y-28XrkMeeA4FFvv_73tw,"""Darvish Restaurant Tempus""",Downtown Core,"""508 Yonge Street""",Toronto,ON,M4Y 1X9,43.6633301,-79.3839204,4.0,66,1,Persian/Iranian;Restaurants
6781,aIZwQGfgdoS_an1mp16yFw,"""LCBO""",The Annex,"""232 Dupont Street""",Toronto,ON,M5R 1V7,43.6752652366,-79.4056208992,2.5,9,1,Food;Beer;Wine & Spirits
6785,TBzgzTFSa7pJXiLD7emYaQ,"""Lotus Garden Hakka Indian Style Chinese""",Scarborough,"""3460 Danforth Avenue""",Toronto,ON,M1L 1E3,43.6942717578,-79.2760401964,4.5,77,1,Indian;Restaurants;Chinese
6786,nplCF1hjAn948EMAaJAazA,"""Super Taste Noodle House""",Scarborough,"""2900 Warden Avenue, Unit 107""",Toronto,ON,M1W 2S8,43.7982634096,-79.3185177711,2.5,21,1,Noodles;Chinese;Restaurants
6790,ciSgztD9OmfJsYdbxW5eSA,"""Vital Planet Health Shop""",St. Lawrence,"""53 Lower Jarvis Street""",Toronto,ON,M5E 1R8,43.647695,-79.3704083,3.5,3,1,Health Markets;Food;Specialty Food
6792,xedLfBfTq0FaomVDgOKe_w,"""FreshCo""",,"""2330 Eglinton Avenue W""",Toronto,ON,M6M 1S6,43.6923936,-79.4659282,4.0,6,1,Food;Grocery
6798,C8Ehjy_oDzYcy3-wf32Y4A,"""Mekong River""",Etobicoke,"""5468 Dundas Street W""",Toronto,ON,M9B,43.6323967,-79.5444351,4.0,46,1,Chinese;Restaurants;Thai;Vietnamese
6799,fIBrbhvU9T2PZuch_wBK_g,"""Panago Pizza""",,"""1852 Avenue Road""",Toronto,ON,M5M 3Z5,43.7314258,-79.4194594,3.0,8,1,Restaurants;Pizza
6805,JDHw4ADjfnhfnILP1FoL1Q,"""Ichimi Sushi""",Downtown Core,"""66 Edward Street""",Toronto,ON,M5G 1C9,43.6566411,-79.3837473,2.5,4,1,Sushi Bars;Restaurants
6807,zy_NHTqtfSrfTGGPoqy4Mw,"""Chopin Restaurant""",Roncesvalles,"""165 Roncesvalles Avenue""",Toronto,ON,M6R 2L3,43.6442149,-79.4480908,3.5,19,1,Ukrainian;Restaurants;Polish
6814,9p_0o3GaOWL7yQzh3mEd1Q,"""Godiva Chocolatier""",Downtown Core,"""1 Dundas St W""",Toronto,ON,M5G 1Z3,43.6554038,-79.3819289,4.0,4,1,Food
6816,wao8YhDY_al99JSrHl3Qow,"""Alton Restaurant""",Milliken,"""250 Alton Towers Cir""",Toronto,ON,M1V 3Z4,43.8251957,-79.2761678,3.0,14,1,Chinese;Restaurants
6818,oBW7pGHtp_sDMa7cMKJl0g,"""Noor Makkah""",Etobicoke,"""1158 Albion Rd""",Toronto,ON,M9V 1A8,43.7379957,-79.5675513,2.5,4,1,Indian;Pakistani;Restaurants;Halal
6821,_H2Q4Y4aosi-svXyfZIaIw,"""Lahore Paan Center""",Leslieville,"""1435 Gerrard Street E""",Toronto,ON,M4L 1Z7,43.6721568,-79.3220259,3.0,11,1,Restaurants;Indonesian;Pakistani;Indian
6824,XsjuwpDUkigW8ymAc2Jggg,"""European Delight""",St. Lawrence,"""St. Lawrence Market, 93 Front St E""",Toronto,ON,M5E 1C3,43.6490516,-79.3717741,4.0,40,1,Delis;Polish;Restaurants;Ukrainian
6825,g1UVmCOhQDY7TGSZ2rRT_w,"""Congee Queen""",Scarborough,"""Agincourt Mall, 3850 Sheppard Avenue E, Unit 425""",Toronto,ON,M1T 3L4,43.7837517175,-79.2927074432,3.5,131,1,Diners;Chinese;Restaurants
6828,StnuRUR2j_ISkC8bX4SUDQ,"""Krispy Kreme""",,"""215 Harbord St""",Toronto,ON,M5S 2R5,43.661484,-79.409399,3.5,28,1,Donuts;Food
6829,Orgm9nmcClxnAUva4nOKyA,"""Hot House Restaurant & Bar""",St. Lawrence,"""35 Church Street""",Toronto,ON,M5E 1T3,43.648847496,-79.37368318,3.5,277,1,Event Planning & Services;Breakfast & Brunch;Cafes;Restaurants;Caterers;Italian;Bars;Nightlife;Venues & Event Spaces
6831,ZcpX7tfcfPmK7bO9M5W2sA,"""Metro""",Beaconsfield Village,"""1230 Queen Street W""",Toronto,ON,M6J 3K6,43.6425042,-79.4277306,4.5,6,1,Food;Grocery
6833,uAAWlLdsoUf872F1FKiX1A,"""Bang Bang Ice Cream and bakery""",Ossington Strip,"""93a Ossington Avenue""",Toronto,ON,M6J 2Z2,43.6462863,-79.4194744,4.0,746,1,Food;Desserts;Ice Cream & Frozen Yogurt
6834,YBec-htc0Obt3_o2BkRbVA,"""Caplansky's Thunderin' Thelma""",Downtown Core,"""""",Toronto,ON,,43.653226,-79.3831843,3.0,10,1,Food Stands;Restaurants
6835,7f7u1SxsbQTaPsHPPMw3bA,"""Juice & Java""",Discovery District,"""790 Bay Street, Unit 100""",Toronto,ON,M5G 1N8,43.6603801,-79.3860568,2.5,3,1,Cafes;Juice Bars & Smoothies;Restaurants;Coffee & Tea;Food
6838,yY3jNsrpCyKTqQuRuLV8gw,"""Cactus Club Cafe""",Financial District,"""77 Adelaide Street W""",Toronto,ON,M5H 1P9,43.6493839,-79.3825073,4.0,278,1,Nightlife;Cocktail Bars;Bars;Canadian (New);Restaurants
6839,PlsMu3_E4NdxJMjcuOHFqw,"""Rose's Halal Kitchen""",Scarborough,"""8a-1960 Lawrence Avenue E""",Toronto,ON,M1R 2Z1,43.7446093,-79.2983409,5.0,8,1,Halal;Restaurants;Caribbean
6842,HjT1oe9jea1m65FWEYbfKw,"""Manchu Wok""",Brockton Village,"""900 Dufferin Street""",Toronto,ON,M6H 4A9,43.6560132,-79.4352469,2.5,3,1,Restaurants;Fast Food;Asian Fusion;Chinese
6843,onCx6Ye5IwD07emyj-VLrg,"""Hogtown Smoke""",The Beach,"""1959 Queen Street E""",Toronto,ON,M4L 1H7,43.6695491216,-79.3021431193,3.5,144,1,Southern;Food;Barbeque;Restaurants;Food Trucks
6845,kXpd8Fsh6fpt3bjRRyqI5Q,"""Laura Secord/Hallmark""",Yorkville,"""2243 Bloor St W""",Toronto,ON,M4W 1A7,43.6699669,-79.3882117,3.0,3,1,Specialty Food;Chocolatiers & Shops;Cards & Stationery;Shopping;Event Planning & Services;Flowers & Gifts;Arts & Crafts;Food
6849,c9eUmcKIfgDaF-WUv4ILVw,"""The Pint""",Entertainment District,"""227 Front Street W""",Toronto,ON,M5V 2X4,43.64363,-79.38858,3.0,20,1,Sports Bars;Restaurants;Bars;Nightlife
6850,UCxymHKMFJ9JhUHuC2HzpA,"""Momofuku Shoto""",Downtown Core,"""190 University Avenue, 3rd Floor""",Toronto,ON,M5H 0A3,43.6494704,-79.3863339,4.0,67,1,Korean;Japanese;Restaurants;American (New);Asian Fusion
6851,bNJHNzKqyGibCbX7QZJKdw,"""Sharetea""",,"""101 Esther Shiner Boulevard, -""",Toronto,ON,M2K 0C4,43.76828,-79.3703812,4.0,15,1,Food;Juice Bars & Smoothies;Bubble Tea;Coffee & Tea
6852,S24zkRnTBxIbXJ1kBRXCtw,"""Mamma's Pizza""",Greektown,"""507 Av Danforth""",Toronto,ON,M4K 1P5,43.677971,-79.3489099,2.5,7,1,Restaurants;Italian;Sandwiches;Pizza
6858,P8p9Ni-Kft1uh1c7Pmmw8g,"""Ghazale Restaurant""",,"""504 Bloor Street W""",Toronto,ON,M5S 1Y3,43.6651843899,-79.4107031822,3.5,74,1,Specialty Food;Food Delivery Services;Sandwiches;Vegetarian;Restaurants;Salad;Middle Eastern;Juice Bars & Smoothies;Food
6860,OWmacE2tt1WVpJk90a4ElA,"""Starbucks""",Deer Park,"""1495 Yonge Street""",Toronto,ON,M4T 1Z2,43.689045,-79.3941558,3.0,5,1,Restaurants;Coffee & Tea;Cafes;Food
6864,Yqu3km0WcFRdUdrKan-LZA,"""Valens Restaurant""",Downtown Core,"""19 Baldwin Street""",Toronto,ON,M5T 1L1,43.6559958,-79.3928937,3.5,67,1,Restaurants;Italian
6865,H9Ht6OgTMl3PZoX60OzCew,"""Domino's Pizza""",New Toronto,"""2811 Lake Shore Boulevard W""",Toronto,ON,M8V 1H6,43.601733,-79.5008951,2.5,12,1,Italian;Restaurants;Pizza
6867,ACBFbEW6oa58_RyX9Op-qQ,"""Seoulicious""",Downtown Core,"""590 Yonge Street""",Toronto,ON,M4Y 1Z3,43.6653822,-79.3850843,3.5,32,1,Korean;Restaurants
6871,drNhiiDfuWAbuGcK3or8IA,"""Moxie's Grill & Bar""",Financial District,"""70 University Avenue""",Toronto,ON,M5H,43.6467641,-79.3845092,2.5,51,1,Canadian (New);Steakhouses;Restaurants
6872,EMHFX2g0xHTKy0RRujkxUA,"""Blue Goose""",Harbourfront,"""235 Queens Quay W""",Toronto,ON,M5J 2G8,43.6391182,-79.3828906,3.0,8,1,Food;Food Trucks;Restaurants;Local Flavor;Food Stands
6874,mHvRAE2OrDRPW8y-m3mVaw,"""Real Canadian Superstore""",,"""825 Don Mills Road""",Toronto,ON,M3C 1V4,43.7222846098,-79.337485372,3.0,35,1,Grocery;Food
6884,2rLj1eok5cXmHr5BrGqbDw,"""Osler Fish Terminal""",The Junction,"""16 Osler Street""",Toronto,ON,M6P 4A2,43.6651171,-79.4572705,5.0,6,1,Food;Specialty Food;Seafood Markets
6886,ROp3STErzggF5JYZK0jxEA,"""Freshii""",Willowdale,"""4922 Yonge Street""",Toronto,ON,M2N 5N5,43.7642144638,-79.4124278426,3.0,5,1,Ice Cream & Frozen Yogurt;Food;Restaurants;Mexican
6888,qFa3wuZ7ij2lh2CKW4ZzyA,"""Bao Bao Plus Dim Sum""",Bloor-West Village,"""2404 Bloor St W""",Toronto,ON,M6S 1P9,43.6497230183,-79.4833571836,3.0,4,1,Chinese;Dim Sum;Restaurants
6891,Ck3hUFGtY6z4CFhTPeJduw,"""The Toasted Tangerine""",Downtown Core,"""""",Toronto,ON,,43.653226,-79.3831843,2.5,5,1,Food Stands;Restaurants
6892,TAAlaXAk9sWOUXZW1-wfYQ,"""Hibachi Teppanyaki & Bar""",,"""550 Wellington Street W""",Toronto,ON,M5V 2V5,43.6431385252,-79.4020506515,3.5,47,1,Lounges;Japanese;Steakhouses;Sushi Bars;Restaurants;Bars;Nightlife
6893,am_CSSt5d7C3pIEjJpXvQw,"""Banh Mi Que Huong""",,"""2437 Finch Avenue W""",Toronto,ON,M9M 2E7,43.7497269,-79.5497477,3.5,9,1,Sandwiches;Restaurants;Vietnamese
6894,IuK9I6ACLrSq2ErZKXy8iQ,"""Sweat & Soda""",Leslieville,"""1091 Queen Street E""",Toronto,ON,M4M 1K7,43.6618493465,-79.3361846725,4.5,11,1,Coffee & Tea;Restaurants;Food;Cafes
6895,VfaMlMtHJgndVw62GUiwCQ,"""Second Cup""",Church-Wellesley Village,"""The Village, 544 Church Street""",Toronto,ON,M4Y 2E1,43.6680968363,-79.380957,3.5,13,1,Cafes;Food;Coffee & Tea;Restaurants
6896,xkc_MfxUcSuRdQnmSvF1IA,"""Harvey's Restaurants""",Ryerson,"""318-10 Dundas St East""",Toronto,ON,M5B 2L6,43.6567455,-79.380484,3.0,10,1,American (Traditional);Fast Food;Restaurants;Burgers
6897,KpFgHrxoVOiwfpR0f5KXUA,"""Thrive Organic Kitchen & Café""",Etobicoke,"""3473 Lake Shore Boulevard W""",Toronto,ON,M8W 1N5,43.5951988,-79.5302858,4.0,89,1,Food;Juice Bars & Smoothies;Vegan;Restaurants;Vegetarian
6900,muM2FKqjWVu-BqhqUN50Jg,"""Toronto Underground Market""",,"""99 Sudbury Street""",Toronto,ON,M6J,43.6412522284,-79.4221874361,2.0,3,1,Food;Ethnic Food;Imported Food;Specialty Food;Street Vendors;Food Trucks
6901,lCjPw8i-bCAd8_W3yzQa8Q,"""The Sweet Potato""",The Junction,"""108 Vine Avenue""",Toronto,ON,M6P 1V7,43.6667329516,-79.468523562,4.5,37,1,Food;Specialty Food;Health Markets;Fruits & Veggies;Grocery
6904,mlHC2XcU9Bows6cnYEmRgg,"""Mad Crush Wine Bar""",Little Italy,"""582 College Street""",Toronto,ON,M6G 1B3,43.6554201,-79.4133518,4.0,5,1,Restaurants;Bars;Breakfast & Brunch;Nightlife;Modern European;Wine Bars
6906,tOL8YMFVyPiXkSYv06AZsQ,"""Burgs""",Downtown Core,"""730 Yonge Street""",Toronto,ON,M4Y 2B6,43.6687087,-79.3861682,2.5,15,1,Sports Bars;Bars;Nightlife;Dive Bars;Canadian (New);Restaurants
6910,gbjIwB_r6y4YhaZMwEK6mw,"""Brick Street Bakery""",Distillery District,"""27 Trinity Street""",Toronto,ON,M5A 3C4,43.6505738431,-79.359479786,4.0,106,1,Food;Sandwiches;Bakeries;Restaurants
6911,khdG2uVwuYPRC2mYp3Nm_w,"""The Greek Boy""",East York,"""942 Pape Avenue""",Toronto,ON,M4K 3V5,43.6866995,-79.3477957,3.0,6,1,Greek;Restaurants
6919,vuXz17TgImV6_VNYwFkKYg,"""Taste of Yunnan""",Chinatown,"""438 Dundas Street""",Toronto,ON,M5T 1G6,43.6536029,-79.3957382,3.5,22,1,Chinese;Restaurants
6920,vSjQyuDH0xim3bpc4Lynsg,"""Joy of Harvest""",Scarborough,"""34 Pony Meadow Ter""",Toronto,ON,M1C 4J4,43.7961497,-79.1858905,4.5,5,1,Food;Farmers Market
6924,Y1jrsVAWK1bFC_s1CJmICw,"""Go Topoki""",Willowdale,"""5 Northtown Way, Unit 5""",Toronto,ON,M2N 7A1,43.7748838435,-79.4140006774,3.5,17,1,Restaurants;Food;Specialty Food;Korean;Desserts
6928,iFWgJ0zmVJ27IeyHcdm1kw,"""Nugget Pizza and Wings""",Scarborough,"""4830 Sheppard Avenue E, Unit 10""",Toronto,ON,M1S,43.791665,-79.2492909,5.0,3,1,Fast Food;Burgers;Pizza;Restaurants;Chicken Wings
6929,ZPI1t-WcZruILq7OQYnZHg,"""Real Fruit Bubble Tea""",Scarborough,"""Cedarbrae Mall, 3495 Lawrence Avenue E, Unit A1039B""",Toronto,ON,M1H 1B2,43.757251698,-79.2302440097,4.5,3,1,Juice Bars & Smoothies;Tea Rooms;Food;Asian Fusion;Restaurants;Coffee & Tea
6930,oIbxs2YL399SGXdcScyVPg,"""7-Eleven""",,"""1390 Weston Rd""",Toronto,ON,M6M 4S2,43.6910547038,-79.5012832582,2.5,3,1,Convenience Stores;Food
6933,Iadni8K9IgCJe2yB3fpgTw,"""Banjara Indian Cuisine""",Yonge and Eglinton,"""164 Eglinton Avenue E""",Toronto,ON,M4P 1G4,43.7080318,-79.393452,3.5,104,1,Indian;Restaurants
6937,iwxV8t1-y9h1XsmSEqSf3w,"""Green Grotto Tea Room""",Milliken,"""385 Silver Star Boulevard, Unit 108""",Toronto,ON,M1V 0E3,43.8150549967,-79.2950134724,2.5,67,1,Food;Tea Rooms
6939,OKUr2j1XwSwrCAiXzX5oFw,"""Madinah Grill""",Scarborough,"""2680 Lawrence Avenue E, Suite  5""",Toronto,ON,M1P 4Y4,43.7524465,-79.2622936,3.5,7,1,Restaurants;Halal;Indian
6940,JbGGAiJxx8dnpF7IzAPqYA,"""De Frantic Monkey Cafe Bar""",Bickford Park,"""799 College Street, Suite 101""",Toronto,ON,M6G 1C7,43.6546389,-79.4210147,5.0,4,1,Juice Bars & Smoothies;Restaurants;Food;Cafes;Coffee & Tea;Beer;Wine & Spirits
6941,2EG3Bf77vr0avHVnlmd03g,"""Bliss Lebanese Cuisine""",Scarborough,"""925 Warden Avenue""",Toronto,ON,M1L 4C5,43.73104,-79.2883761,3.5,16,1,Halal;Restaurants;Lebanese;Middle Eastern
6944,fahTY0JgXIC4jNfLqDbDlA,"""The Corner Comedy Club""",Queen Street West,"""163 John Street""",Toronto,ON,M5T 1X3,43.6502885462,-79.3910800166,3.5,18,1,Food;Bars;Arts & Entertainment;Nightlife;Lounges;Comedy Clubs;Social Clubs;Beer;Wine & Spirits
6948,MMsTJSbdACxBAfaQdLQCVw,"""McDonalds""",Etobicoke,"""195 North Queen""",Toronto,ON,M9C 4Y1,43.6157422,-79.5559958,2.0,7,1,Restaurants;Burgers;Sandwiches
6953,DYkC6U-wa5gtwMFOV0EBYg,"""Pita Land""",Downtown Core,"""102 Gerrard St E""",Toronto,ON,M5B 1G9,43.6603678,-79.377009,3.5,37,1,Middle Eastern;Halal;Restaurants;Mediterranean;Sandwiches
6954,nF25dferG_sEndO6wwOl-w,"""YoYo's Yogurt Cafe""",,"""417 Bloor Street W""",Toronto,ON,M5S 1X6,43.6663469357,-79.404703377,3.5,39,1,Coffee & Tea;Ice Cream & Frozen Yogurt;Juice Bars & Smoothies;Food;Do-It-Yourself Food
6964,HNF4f4pwr6s99AsDNWWy5g,"""Esther Queen of Soups""",Yorkville,"""2 Bloor Street W""",Toronto,ON,M4W 3E2,43.6705059,-79.3871564,3.5,18,1,Restaurants;Soup
6965,Koofpyww8Y-H9O7vw8mapQ,"""Shanghai 360""",Harbourfront,"""20 Bay Street""",Toronto,ON,M5J 2N8,43.6412698662,-79.3774427846,3.0,3,1,Restaurants;Chinese;Dim Sum
6968,i78im_1r1ZQbwqLjVxZxpg,"""Aroma Espresso Bar""",Downtown Core,"""562 Bay Street""",Toronto,ON,M5G 0B3,43.6552598181,-79.3836292262,3.5,48,1,Coffee & Tea;Food;Cafes;Breakfast & Brunch;Bakeries;Restaurants
6969,H_YBTOS23PRhrjWtP7TeJw,"""Marigold Indian Bistro""",Mount Pleasant and Davisville,"""552 Mount Pleasant Road""",Toronto,ON,M4S 2M6,43.7028822,-79.387986,3.5,58,1,Indian;Restaurants;Pakistani
6971,geQG2a9uO6Q9hXVx937Kbw,"""Burrito Boyz""",Ryerson,"""74 Dundas Street E""",Toronto,ON,M5B 1C7,43.6563929,-79.378509,3.5,51,1,Restaurants;Event Planning & Services;Caterers;Canadian (New);Mexican
6978,MYUQc3vflQBtBT7154Y6YA,"""Wylie's Restaurant""",Summer Hill,"""1234 Yonge Street""",Toronto,ON,M4T 1W3,43.682597,-79.3920338,3.0,26,1,Thai;Nightlife;Canadian (New);Restaurants
6979,PZ08ZO0-t2r1qA5WDd6wfA,"""Honey-Bee Restaurant""",The Beach,"""2028 Queen Street E""",Toronto,ON,M4L 1J4,43.6705944,-79.2986461,2.0,21,1,Chinese;Restaurants
6980,nJ1c5eQZ6yoyHFV_crkntg,"""Oaks 'n Acorns""",The Danforth,"""1856 Danforth Avenue""",Toronto,ON,M4C 1J4,43.6848587,-79.3173785,4.5,5,1,Coffee & Tea;Special Education;Event Planning & Services;Education;Venues & Event Spaces;Art Classes;Active Life;Playgrounds;Food;Recreation Centers
6982,OY2B-RrWWc_5WEz2Ba19HA,"""Hugh's Room Live""",High Park,"""2261 Dundas Street W""",Toronto,ON,M6R 1X6,43.6547222,-79.4523033,3.0,20,1,Restaurants;Music Venues;Nightlife;Arts & Entertainment
6986,PkeaeQS8aJTeS8PS_Hl_-g,"""Steak and Cheese Factory""",Mount Pleasant and Davisville,"""188 Eglinton Avenue East, Unit 102""",Toronto,ON,M4P 1K2,43.708213,-79.3923668,3.0,3,1,Cheesesteaks;Sandwiches;Restaurants
6988,Z8O-Svr6gE_Ie1HVy1I8DQ,"""Mucho Burrito""",Financial District,"""Bay Adelaide Centre, 333 Bay Street""",Toronto,ON,M5H 2S8,43.65024,-79.3809,3.5,12,1,Fast Food;Restaurants;Mexican
6992,7v91woy8IpLrqXsRvxj_vw,"""Old School""",Little Italy,"""800 Dundas Street W""",Toronto,ON,M6J 1V1,43.6519218754,-79.4083632901,3.0,204,1,Nightlife;Barbeque;Restaurants;Breakfast & Brunch;Bars;American (Traditional)
6993,PxNlfFHLRVGKqpN7-vXBTQ,"""Starbucks""",Greektown,"""604 Danforth Ave""",Toronto,ON,M4K 1R1,43.6788631,-79.3463438,3.0,14,1,Cafes;Food;Restaurants;Coffee & Tea
6995,lGmXgLQklCW0laI5Gdxopw,"""Cravings Asian Cuisine""",,"""3393 Yonge Street""",Toronto,ON,M4N 2M8,43.7324953,-79.4037874,3.5,27,1,Asian Fusion;Restaurants;Japanese;Thai
7002,zNqmhbe6rWU8exd-PHURyA,"""Cupcakes At Leaside""",,"""Leaside Village, 85 Laird Dr, Ste 4A, Leaside Village""",Toronto,ON,M4G 3T7,43.705748,-79.361376,2.5,25,1,Food;Desserts;Bakeries;Cupcakes
7011,CGKgDk1f-VAu0BHOivqmLQ,"""Prague Restaurant""",Scarborough,"""450 Scarborough Golf Club Road""",Toronto,ON,M1G 1H1,43.7543409,-79.2160007,3.5,7,1,French;Czech;Slovakian;Restaurants;Modern European
7015,vF-Q0OcabOsjrJHA3XCCug,"""Tim Hortons""",Financial District,"""Royal Bank Plaza, 200 Bay Street""",Toronto,ON,M5J,43.6464188,-79.3798169,3.5,5,1,Food;Coffee & Tea
7016,2XUYdiTgCsDE0k61QC422A,"""Crepes Club""",Downtown Core,"""49 Baldwin Street""",Toronto,ON,M5T 1L3,43.6558431,-79.3938967,4.0,42,1,Food;Ukrainian;Salad;Cafes;Delicatessen;Restaurants;Russian;Breakfast & Brunch;Polish
7017,YCIryQN80vZ65AdcyzBv3A,"""OMG Baked Goodness Ltd""",Brockton Village,"""1561 Dundas Street W""",Toronto,ON,M6K 1T9,43.649502,-79.4338628,3.5,24,1,Specialty Food;Food;Bakeries;Chocolatiers & Shops;Desserts
7019,oMgDbkk0hlPYFUmwAOVjgQ,"""Leslieville Pumps""",Leslieville,"""929 Queen Street E""",Toronto,ON,M4M 1J6,43.6607399028,-79.3405575733,3.5,82,1,Automotive;Sandwiches;Gas Stations;Restaurants;Convenience Stores;Food
7020,liinBFwYm7odRPz0a7kSYg,"""La Prep""",,"""160 Bloor Street E, Suite 110""",Toronto,ON,M4W 1B9,43.6716168,-79.3829469,3.0,9,1,Sandwiches;Restaurants;Breakfast & Brunch
7021,JFxSgJXC7siDE4ThlEEzMA,"""Ginger""",Ryerson,"""355 Yonge Street""",Toronto,ON,M5B 1S1,43.6579460838,-79.3813354908,2.5,41,1,Restaurants;Vietnamese
7022,OFaBWa-YLblMZhfS54MsWA,"""Jetsun's Juicyburger""",Scarborough,"""1900 Eglinton Avenue E""",Toronto,ON,M1L 2L9,43.7271654762,-79.2925357819,2.5,18,1,Diners;Burgers;Restaurants;Breakfast & Brunch
7023,npu6Q4RgP8hy0xIyS3wJGw,"""Pita Pure House""",Downtown Core,"""717 Bay St""",Toronto,ON,M5G 2J9,43.6588092,-79.3846555,3.0,6,1,Middle Eastern;Sandwiches;Restaurants
7026,ftvZ6BVmbZndKcVPEdakIQ,"""Arepa Café""",Alexandra Park,"""490 Queen Street W""",Toronto,ON,M5V 2B3,43.6479538471,-79.4008710352,4.0,215,1,Restaurants;Desserts;Food;Latin American;Salad;Venezuelan
7028,SVYL3xzJTXcFg-oCGpgzZg,"""McCafe""",,"""65 Front Street W, Unit 224""",Toronto,ON,M5J 1E6,43.6445209251,-79.3810729976,4.0,12,1,Breakfast & Brunch;Restaurants;Coffee & Tea;Food
7031,XNAjBwDNbaU_tlOxzR1aUQ,"""Wynner Grill""",Scarborough,"""3330 Pharmacy Avenue""",Toronto,ON,M1W 3V8,43.8043291239,-79.3310938776,3.0,4,1,Restaurants;Bars;Food;Chinese;Barbeque;Nightlife;Canadian (New)
7042,E3fznOhzBYAEr6xcOQZ5aQ,"""Noorden Food Bar""",Mount Pleasant and Davisville,"""2110 Yonge Street""",Toronto,ON,M4S 2A5,43.7034576338,-79.3977655853,3.5,25,1,Restaurants;Wine Bars;Tapas Bars;Nightlife;Bars
7046,amyNIcopp_6P1BWMrS53gA,"""Moberly Natural Foods""",The Danforth,"""2044 Danforth Ave""",Toronto,ON,M4C 1J6,43.6855125,-79.3140829,4.0,19,1,Fruits & Veggies;Health Markets;Specialty Food;Organic Stores;Food
7048,MSk0zUrks56mv0nHarfcAg,"""Mac's Convenience Stores""",Discovery District,"""144 Dundas St W""",Toronto,ON,M5G 1C3,43.6555706,-79.3850128,3.0,3,1,Food;Convenience Stores
7049,jpey97LCoDECfqwAM6GH_w,"""Eastbound Brewing""",Riverdale,"""700 Queen Street E""",Toronto,ON,M4M 1G9,43.6589506,-79.3502718,3.5,16,1,Bars;Nightlife;Breweries;Food;Pubs;Beer;Wine & Spirits
7052,Z_QOYDTdZ9yc51RAJjEKHw,"""Sushi Zone""",Mount Pleasant and Davisville,"""1992 Yonge Street""",Toronto,ON,M4S 1Z7,43.7002165,-79.3971787,3.5,24,1,Japanese;Sushi Bars;Restaurants
7055,5XYR6doRa5Nj1JMfSDei6A,"""Nova Era Bakery""",Little Portugal,"""1172 Dundas Street W""",Toronto,ON,M6J 1X4,43.6495272,-79.4221214,3.5,37,1,Restaurants;Portuguese;Coffee & Tea;Bakeries;Food
7056,n4uuq1tlypMs4XQNInsOIg,"""Sunny Green Fruit and Vegetable Limited""",,"""224 Wellesley Street E""",Toronto,ON,M4X 1G2,43.667755,-79.3724885,5.0,9,1,Grocery;Food
7072,ywPaE5Ai8SK8TeUoeMgJ6Q,"""SpeakEasy 21""",Downtown Core,"""21 Adelaide Street W""",Toronto,ON,M5H 1N1,43.650043,-79.3801475,2.5,40,1,Nightlife;Speakeasies;Gastropubs;Restaurants;Bars
7074,jrk5mERDGfe4uDAd6WnZKQ,"""Poorani Vilaas""",Scarborough,"""6055 Steeles Avenue E, Unit 104""",Toronto,ON,M1X 0A7,43.8357496,-79.25035,2.5,5,1,Indian;Sri Lankan;Restaurants
